id_poliza,fecha_emision,id_cliente,id_corredor,id_aseguradora,id_tipo_seguro,prima,comision,monto_asegurado,motivo_rechazo
1,,184,42,15,2,,,139253.11,"Fecha_emision es nulo,prima_vacia_o_negativa,comision_vacia_o_negativo"
2,2026-02-16,2408,35,11,12,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
3,2025-02-14,540,42,4,9,1611.53,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
5,2026-02-13,945,23,9,11,,,123407.75,"prima_vacia_o_negativa,comision_vacia_o_negativo"
6,2025-05-02,1295,17,1,1,943.49,,71968.43,comision_vacia_o_negativo
8,2026-01-11,887,77,3,8,1670.56,258.75,,monto_asegurado_vacio_o_negativo
9,2025-02-28,1670,66,8,12,,,125804.84,"prima_vacia_o_negativa,comision_vacia_o_negativo"
10,2026-01-24,2281,69,13,3,791.38,,20710.0,comision_vacia_o_negativo
11,2025-03-21,2590,25,8,4,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
12,2025-10-19,1521,14,11,5,726.02,,86216.65,comision_vacia_o_negativo
13,2025-08-19,1527,9,14,9,708.37,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
15,2025-12-27,1954,62,13,4,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
16,2025-01-07,424,19,5,11,,39.07,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
17,2025-10-09,856,73,14,8,832.85,,94675.98,comision_vacia_o_negativo
18,2025-01-15,123,75,2,5,,39.57,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
20,2025-03-26,522,32,1,3,487.69,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
21,2026-01-13,179,34,2,9,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
22,2025-09-07,2160,71,5,5,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
23,2025-03-21,61,19,3,5,,,163649.61,"prima_vacia_o_negativa,comision_vacia_o_negativo"
24,2025-04-26,302,15,15,9,,8.98,15865.44,prima_vacia_o_negativa
25,2025-02-13,101,34,8,2,,,269942.16,"prima_vacia_o_negativa,comision_vacia_o_negativo"
26,2025-07-29,2295,71,11,4,614.46,,36670.97,comision_vacia_o_negativo
27,2025-06-25,352,30,3,6,-1290.55,179.37,162227.75,
28,2025-02-21,1213,65,8,9,464.73,,18041.73,comision_vacia_o_negativo
29,,1101,7,8,12,,54.06,,"Fecha_emision es nulo,prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
30,2025-07-05,2493,14,12,4,816.71,199.22,,monto_asegurado_vacio_o_negativo
31,2025-08-07,1847,45,4,2,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
32,2025-07-28,388,22,6,4,822.52,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
33,2025-09-18,1034,67,2,8,73.63,13.25,,monto_asegurado_vacio_o_negativo
34,2025-12-01,1969,41,10,5,,256.53,202107.44,prima_vacia_o_negativa
35,2025-01-19,1139,79,1,3,,191.44,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
36,2025-06-12,2313,53,12,6,779.35,64.18,,monto_asegurado_vacio_o_negativo
38,2025-04-21,2327,39,13,7,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
39,2025-11-15,629,62,11,7,,206.36,75584.63,prima_vacia_o_negativa
40,2025-08-09,25,47,6,9,1300.11,189.22,,monto_asegurado_vacio_o_negativo
41,2025-11-10,3651,48,13,5,,106.27,136809.9,prima_vacia_o_negativa
42,,2455,31,5,11,,,,"Fecha_emision es nulo,prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
43,2025-11-06,2657,8,6,1,-1261.22,,248818.74,comision_vacia_o_negativo
44,,1701,10,14,10,946.36,153.66,153121.65,Fecha_emision es nulo
45,2025-12-11,2278,66,3,11,1539.37,240.41,,monto_asegurado_vacio_o_negativo
46,2025-11-04,2761,28,2,1,,,23965.61,"prima_vacia_o_negativa,comision_vacia_o_negativo"
47,,2482,18,3,2,,242.77,69252.65,"Fecha_emision es nulo,prima_vacia_o_negativa"
48,2025-07-16,259,29,14,1,,46.88,55688.51,prima_vacia_o_negativa
50,2025-02-22,717,49,15,10,518.78,,,"comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
51,2025-06-04,2801,67,5,4,,321.59,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
56,2025-03-09,2767,28,7,8,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
57,2025-04-16,852,4,13,1,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
58,2025-03-29,454,6,15,8,,213.26,,"prima_vacia_o_negativa,monto_asegurado_vacio_o_negativo"
59,2025-02-01,1934,18,1,2,1253.51,,149260.92,comision_vacia_o_negativo
60,2026-01-26,3686,51,6,2,,,,"prima_vacia_o_negativa,comision_vacia_o_negativo,monto_asegurado_vacio_o_negativo"
